"id","vector","h","s","v"
"dwight-eisenhower","#3E1B0F","0.0425531914893617","0.758064516129032","0.243137254901961"
"john-adams","#46291F","0.0427350427350427","0.557142857142857","0.274509803921569"
"richard-nixon","#C98168","0.0429553264604811","0.482587064676617","0.788235294117647"
"grover-cleveland","#402921","0.0430107526881721","0.484375","0.250980392156863"
"james-monroe","#DC9A83","0.0430711610486891","0.404545454545455","0.862745098039216"
"millard-fillmore","#6A2912","0.0435606060606061","0.830188679245283","0.415686274509804"
"james-polk","#653524","0.0435897435897436","0.643564356435644","0.396078431372549"
"chester-arthur","#5E200A","0.0436507936507936","0.893617021276596","0.368627450980392"
"ulysses-grant","#160803","0.043859649122807","0.863636363636364","0.0862745098039216"
"james-madison","#371B11","0.043859649122807","0.690909090909091","0.215686274509804"
"barack-obama","#AB654C","0.043859649122807","0.555555555555556","0.670588235294118"
"w-bush","#A5705D","0.0439814814814815","0.436363636363636","0.647058823529412"
"chester-arthur","#91462B","0.0441176470588235","0.703448275862069","0.568627450980392"
"andrew-jackson","#100501","0.0444444444444444","0.9375","0.0627450980392157"
"richard-nixon","#A96B54","0.0450980392156863","0.502958579881657","0.662745098039216"
"rutherford-hayes","#B55D3C","0.0454545454545454","0.668508287292818","0.709803921568627"
"thomas-jefferson","#0B0300","0.0454545454545454","1","0.0431372549019608"
"james-polk","#A56D58","0.0454545454545454","0.466666666666667","0.647058823529412"
"barack-obama","#412419","0.0458333333333333","0.615384615384615","0.254901960784314"
"martin-van-buren","#513429","0.0458333333333333","0.493827160493827","0.317647058823529"
"john-tyler","#FBA483","0.0458333333333334","0.47808764940239","0.984313725490196"
"bill-clinton","#411F12","0.0460992907801418","0.723076923076923","0.254901960784314"
"william-harrison","#613220","0.0461538461538462","0.670103092783505","0.380392156862745"
"john-adams","#3E312C","0.0462962962962963","0.290322580645161","0.243137254901961"
"john-adams","#C7937F","0.0462962962962963","0.361809045226131","0.780392156862745"
"william-harrison","#AF4F2A","0.0463659147869674","0.76","0.686274509803922"
"benjamin-harrison","#4A1E0D","0.046448087431694","0.824324324324324","0.290196078431373"
"abraham-lincoln","#493730","0.0466666666666667","0.342465753424658","0.286274509803922"
"chester-arthur","#813C21","0.046875","0.744186046511628","0.505882352941176"
"james-garfield","#361A0F","0.047008547008547","0.722222222222222","0.211764705882353"
"zachary-taylor","#3E2217","0.047008547008547","0.629032258064516","0.243137254901961"
"woodrow-wilson","#773F29","0.047008547008547","0.65546218487395","0.466666666666667"
